Page title,UK Fees,International Fees,Duration,Campus,description,Url
"Tourism Management MA - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Marylebone, Central London","Tourism is an increasingly important part of our lives, and the tourism industry is one of the few global industries forecast to grow in the long term. Managing this rapidly growing industry to meet visitors' demands in a sustainable way is exciting and challenging. This long-established course will give you the knowledge, analytical abilities and skills you need to make a career as a tourism professional.",https://www.westminster.ac.uk/tourism-and-events-management-courses/2025-26/september/full-time/tourism-management-ma
"Transport Planning MSc - Courses | University of Westminster, London","£9,700","£15,500",1 year,"Marylebone, Central London","This course develops your ability to initiate and implement advanced analysis and research in transport policy, planning and management. You'll learn the techniques and methodologies you need to take decisions, or to provide the necessary information for others to take policy decisions. This MSc course has been running successfully since 1970. The course is accredited by the Chartered Institute of Logistics and Transport (CILT). This course is also approved by the TPP Professional Standards Committee as meeting the educational requirements for the Transport Planning Professional (TPP) qualification.",https://www.westminster.ac.uk/transport-and-logistics-courses/2025-26/september/full-time/transport-planning-msc
"Teaching English to Speakers of Other Languages (TESOL) MA - Courses | University of Westminster, London","£9,700","£17,500",1 year,"Regent, Central London","Our Teaching English to Speakers of Other Languages (TESOL) course combines theoretical academic study with practical application and skills development in English language teaching. Our course provides advanced training for TESOL professionals, and examines the latest developments in TESOL methodology and related issues. You'll develop the practical and professional skills involved in TESOL, along with the ability to analyse and apply theoretical perspectives to practical situations.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/teaching-english-to-speakers-of-other-languages-tesol-ma
"Urban Design MA - Courses | University of Westminster, London","£9,700","£15,500",1 year,"Marylebone, Central London","In an increasingly urbanised world, there is growing international demand for urban design graduates. This course will equip you with the knowledge and skills you need to participate in this rapidly expanding profession. Urban design involves shaping the physical setting for life in cities. The pace of urban change, and the challenge of making cities efficient, sustainable and meaningful, demands creative solutions to design and management. The urban design courses at Westminster provide a coherent approach to issues that face our cities, combining structured academic study with live design projects, allowing you to develop practical skills, a theoretical understanding and an informed approach to sustainable urban development.",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/urban-design-ma
"Urban and Regional Planning MA - Courses | University of Westminster, London","£9,700","£15,500",1 year,"Marylebone, Central London","The Urban and Regional Planning MA will give you the skills, knowledge and abilities necessary to practise professionally as a spatial planner in a variety of private, public and third sector/ community contexts. Building on the University of Westminster's experience of delivering postgraduate courses in town planning for more than 80 years, it examines planning across diverse contexts and scales, but focuses in particular on planning in, and for, towns, cities, and urban regions in the UK. You'll be taught by qualified and dedicated staff who possess vast industry, research and teaching experience and moreover you'll benefit from studying in a genuinely interdisciplinary academic environment with excellent industry links in the heart of one of the most vibrant cities in the world.",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/urban-and-regional-planning-ma
"Urban Design Postgraduate Diploma - Courses | University of Westminster, London","£6,750","£10,750",1 year,"Marylebone, Central London","In an increasingly urbanised world, there is growing international demand for urban design graduates. This course will equip you with the knowledge and skills you need to participate in this rapidly expanding profession. Urban design involves shaping the physical setting for life in cities. The pace of urban change, and the challenge of making cities efficient, sustainable and meaningful, demands creative solutions to design and management. The urban design courses at Westminster provide a coherent approach to issues that face our cities, combining structured academic study with live design projects, allowing you to develop practical skills, a theoretical understanding and an informed approach to sustainable urban development.",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/urban-design-postgraduate-diploma
"Art and Visual Culture MA - Courses | University of Westminster, London","£9,700","£17,500",1 year,"Regent, Central London","The Art and Visual Culture MA is part of the Cultural and Literary Studies Suite, a cluster of four MAs that bring together academics, curators and practitioners who share a commitment to investigating modern and contemporary culture from aesthetic, critical, literary, and experiential perspectives. You'll share classes with students from the Cultural and Critical Studies MA, the English Literature: Modern and Contemporary Fictions MA, and the Museum, Galleries and Contemporary Culture MA, joining a fruitful and intellectually-rigorous environment designed to facilitate the sprouting of interdisciplinary thinking. As part of our Suite, you may also choose an option module from the other three MA programmes (what is referred to as an ‘elective’ module), a fantastic opportunity to explore a facet of culture outside of your chosen MA programme.",https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/art-and-visual-culture-ma
"Management MA - Courses | University of Westminster, London","£16,700","£17,500",1 year,"Marylebone, Central London","Core management skills are in high demand in our rapidly changing environment. Successful managers need to know how people behave, the nature of leadership and sources of power and influence within the workplace. They must also plan, prioritise, develop new processes and identify new opportunities. That’s why our MA provides a broad understanding of business – from finance and people management to operations, communications and marketing. You’ll graduate with the all-round expertise and decision-making capabilities required to lead modern organisations.",https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/management-ma
"Business and Organisational Psychology MSc - Courses | University of Westminster, London","£6,350","£7,750",2 years,"Marylebone, Central London","In a rapidly changing business environment, the demand for business psychology graduates that can meet the needs of industry with the right skill set, knowledge base and work-ready attitude has never been more important.",https://www.westminster.ac.uk/business-and-management-psychology-courses/2025-26/september/part-time-day-evening/business-and-organisational-psychology-msc
"Corporate Finance Law LLM - Courses | University of Westminster, London","£6,350","£8,750",2 years,"Regent, Central London","Knowledge of corporate finance law is essential for lawyers, bankers and financiers who are keen to develop professional skills in corporate fundraising, deal structures and transactional management. Our Corporate Finance Law LLM offers an enhanced qualification for professionals working or planning to work in a technically demanding and dynamic global industry. It will appeal to both recent graduates and practitioners considering various fields of work, including law, investment banking, corporate finance, private equity, securities, investments, financial regulation, government agencies and international financial authorities.",https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day-evening/corporate-finance-law-llm
"AI, Data and Communication MA - Courses | University of Westminster, London","£1,125","£1,985",2 years,"Harrow, North-West London","It is estimated that there will be 97 million data-related jobs by 2025, and many of these will require employees with strong analytical and communication skills who are able to connect data with the needs of an ever-growing range of sectors.",https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/part-time-day-evening/ai-data-and-communication-ma
"Entertainment Law LLM - Courses | University of Westminster, London","£6,350","£8,750",2 years,"Regent, Central London","Entertainment, in forms such as music, film, media, sports and the arts, is a large part of life globally. It's a combination of society, popular culture and commerce, and the interaction of these with law produces an exciting, contemporary subject. It's an area deeply affected by technological progress as well as business adaptation.",https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day-evening/entertainment-law-llm
"Health Psychology MSc - Courses | University of Westminster, London","£5,350","£8,750",2 years,"Cavendish, Central London","Health psychology plays a key role in improving the health and wellbeing of the population. Our Health Psychology MSc, based in the heart of London, was one of the first Master's in Health Psychology and has been accredited by the British Psychological Society (BPS) since 1999. It includes an innovative portfolio of assessments geared to developing transferable skills, and relating directly to the world of work. Our course also provides the opportunity to gain work experience and apply your knowledge in a health psychology setting, while considering future career plans.",https://www.westminster.ac.uk/psychology-courses/2025-26/september/part-time-day/health-psychology-msc
"Human Resource Management MA - Courses | University of Westminster, London","£5,750","£7,000",2 years,"Marylebone, Central London","In a turbulent, rapidly changing business environment, the demand for HR professionals who can strategically manage and develop staff potential – while overcoming issues such as redundancy, flexible working and the recent challenges of furloughed staff and social distancing – has never been more fundamental to business success.",https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/part-time-day-evening/human-resource-management-ma
"International Commercial and Corporate Law LLM - Courses | University of Westminster, London","£6,350","£8,750",2 years,"Regent, Central London","The International Commercial and Corporate Law LLM balances the best of a rigorous, traditional legal education with a contemporary perspective. Our areas of specialisation address today’s most important business and legal challenges, including the study of commercial relationships in the international arena, the role and impact of electronic commerce, and the gradual harmonisation of international commercial law.",https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day-evening/international-commercial-and-corporate-law-llm
"International and Commercial Dispute Resolution Law LLM - Courses | University of Westminster, London","£6,350","£8,750",2 years,"Regent, Central London","Our International and Commercial Dispute Resolution Law LLM (ICDRL) is for anyone wishing to demonstrate a commitment to contentious law in public and private international and commercial legal contexts. The taught part of the course includes modules which reflect the three main forms of dispute resolution process, namely, adjudication (litigation and arbitration), alternative dispute resolution (ADR – principally mediation), and negotiation.",https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day-evening/international-and-commercial-dispute-resolution-law-llm
"International Relations MA - Courses | University of Westminster, London","£5,350","£8,750",2 years,"Regent, Central London","The International Relations MA offers you an innovative, disciplined and intellectually challenging framework for studying issues and perspectives within international relations.",https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/part-time-day/international-relations-ma
"International Planning and Sustainable Development MA - Courses | University of Westminster, London","£1,125","£1,785",2 years,"Marylebone, Central London","This course is aimed at built environment professionals and others with a relevant social or physical science background who wish to gain an in-depth understanding of planning and sustainable development, whether to improve career prospects in their country or enter international practice. Through the course you'll examine the growing problems of sustainable development facing cities, regions and communities in a rapidly urbanising world, subject to growing climate change and other environmental, economic and social pressures and risks.",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day-evening/international-planning-and-sustainable-development-ma
"International Relations and Democratic Politics MA - Courses | University of Westminster, London","£5,350","£8,750",2 years,"Regent, Central London","The International Relations and Democratic Politics MA provides an advanced critical and comprehensive understanding of the forces shaping inter-state relations and global politics. Drawing on key theoretical interpretations of democratic politics, the course examines various principles of democratic thinking (ranging from pluralism and civil society to egalitarianism and human rights), and explores the interplay between theory and practice in old and new democracies and in processes of global governance.",https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/part-time-day/international-relations-and-democratic-politics-ma
"International Relations and Security MA - Courses | University of Westminster, London","£5,350","£8,750",2 years,"Regent, Central London","The question of security now dominates contemporary international politics. Issues such as the 'War on Terror', pre-emptive self-defence and humanitarian intervention constitute seminal international concerns that have implications for all states and all peoples.",https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/part-time-day/international-relations-and-security-ma
"Multimedia Journalism (Print & Online) MA - Courses | University of Westminster, London","£1,225","£1,985",2 years,"Harrow, North-West London","This course offers a hands-on curriculum that allows you to develop your core journalistic skills in print, online and social media management.",https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/part-time-day-evening/multimedia-journalism-print-online-ma
"Multimedia Journalism (Broadcast) MA - Courses | University of Westminster, London","£1,225","£1,985",2 years,"Harrow, North-West London","This course offers a hands-on curriculum that allows you to develop core journalistic skills in broadcast and digital media. You'll learn the technical skills to master TV, audio and digital reporting. The course has a very practical focus, so you'll develop your own story ideas and gather your own material through research and reporting for journalistic course work.",https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/part-time-day-evening/multimedia-journalism-broadcast-ma
"Museums, Galleries and Contemporary Culture MA - Courses | University of Westminster, London","£4,500","£9,140",2 years,"Regent, Central London","The Museums, Galleries and Contemporary Culture MA examines how cultural institutions are changing to meet the needs of the 21st century. The MA is for you if you're pursuing a career as a museum professional, curator, or arts organiser. It will equip you with a critical understanding of the key conceptual and practical skills in curatorship, museology and museum management necessary for you to succeed in your professional life.",https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/museums-galleries-and-contemporary-culture-ma
"Public Relations MA - Courses | University of Westminster, London","£1,125","£1,985",2 years,"Harrow, North-West London","This course is designed to produce public relations leaders who are creative, resourceful and technically proficient.",https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/part-time-day/public-relations-ma
"Urban Design MA - Courses | University of Westminster, London","£1,125","£1,785",2 years,"Marylebone, Central London","In an increasingly urbanised world, there is growing international demand for urban design graduates. This course will equip you with the knowledge and skills you need to participate in this rapidly expanding profession. Urban design involves shaping the physical setting for life in cities. The pace of urban change, and the challenge of making cities efficient, sustainable and meaningful, demands creative solutions to design and management. The urban design courses at Westminster provide a coherent approach to issues that face our cities, combining structured academic study with live design projects, allowing you to develop practical skills, a theoretical understanding and an informed approach to sustainable urban development.",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/urban-design-ma
"Urban Design Postgraduate Diploma - Courses | University of Westminster, London","£1,125","£1,785",2 years,"Marylebone, Central London","In an increasingly urbanised world, there is growing international demand for urban design graduates. This course will equip you with the knowledge and skills you need to participate in this rapidly expanding profession. Urban design involves shaping the physical setting for life in cities. The pace of urban change, and the challenge of making cities efficient, sustainable and meaningful, demands creative solutions to design and management. The urban design courses at Westminster provide a coherent approach to issues that face our cities, combining structured academic study with live design projects, allowing you to develop practical skills, a theoretical understanding and an informed approach to sustainable urban development.",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/urban-design-postgraduate-diploma
"Art and Visual Culture MA - Courses | University of Westminster, London","£4,850","£8,750",2 years,"Regent, Central London","The Art and Visual Culture MA is part of the Cultural and Literary Studies Suite, a cluster of four MAs that bring together academics, curators and practitioners who share a commitment to investigating modern and contemporary culture from aesthetic, critical, literary, and experiential perspectives. You'll share classes with students from the Cultural and Critical Studies MA, the English Literature: Modern and Contemporary Fictions MA, and the Museum, Galleries and Contemporary Culture MA, joining a fruitful and intellectually-rigorous environment designed to facilitate the sprouting of interdisciplinary thinking. As part of our Suite, you may also choose an option module from the other three MA programmes (what is referred to as an ‘elective’ module), a fantastic opportunity to explore a facet of culture outside of your chosen MA programme.",https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/art-and-visual-culture-ma
"Architecture and Environmental Design MSc - Courses | University of Westminster, London","£1,325","£1,785",2 years,"Marylebone, Central London","The global environmental and energy challenge facing current and future generations of architects and building professionals calls for a deeper understanding of the principles of environmental design, and their effective application into architectural practice worldwide. Over the last decades environmental design as a subject area has developed, responding to new research and experimentation, both in academia and in practice. However, buildings claiming to be environmentally conscious do not perform to the expected standards, still heavily contributing to global CO",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-and-environmental-design-msc
"Interior Architecture MA - Courses | University of Westminster, London","£1,125","£1,985",2 years,"Marylebone, Central London","Our Interior Architecture MA promotes a speculative approach to spatial design that is rooted in theory and the world of ideas. Those ideas, however, are deployed to confront contemporary questions and challenges. This MA course, therefore, is both conceptual and pragmatic; experimental and rigorous. With a special focus on people and place, the course will encourage you to develop a deep sympathy for the needs and aspirations of the users of a space, as well as a sensitivity towards (and response to) physical and social contexts.",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day-evening/interior-architecture-ma
"Audio Production MA - Courses | University of Westminster, London","£1,225","£1,785",2 years,"Harrow, North-West London","The Audio Production MA is a well-established course (running for over 20 years), producing numerous graduates who've gone on to enjoy successful careers in the music and creative industries. This Master's programme is accredited by JAMES (consortium of music, entertainment and media industry organisations in the support of education and promotion of excellence). The course is designed to meet and exceed professional standards and will enable you to reach the highest level in the creative use of audio, and explore how creative ideas and new technologies can be combined, enhanced and redefined.",https://www.westminster.ac.uk/music-courses/2025-26/september/part-time-day/audio-production-ma
"Interactive Media Practice MA - Courses | University of Westminster, London","£1,225","£1,985",2 years,"Harrow, North-West London","This exciting multidisciplinary Master's course is fully designed to reflect the needs of contemporary interactive media industries, bringing together creative technologies, interactivity, design practices and entrepreneurship with the user in mind.",https://www.westminster.ac.uk/art-design-and-visual-culture-computer-science-and-engineering-media-and-communication-courses/2025-26/september/part-time-day/interactive-media-practice-ma
"Biomedical Science MSc - Courses | University of Westminster, London","£1,070","£1,750",2-5 years,"Cavendish, Central London","The Biomedical Science MSc lets you tailor your course to your interests and experience with a wide range of optional modules in addition to our core delivery. You can mix modules in microbiology, molecular biology, haematology, clinical chemistry, or blend basic science with studies in science communication or commercialization. This flexibility allows you to deepen your understanding of human diseases, their investigation, and therapy, while also enhancing your skills in designing and executing project work.",https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/part-time-day/biomedical-science-msc
"Architecture and Environmental Design Postgraduate Certificate - Courses | University of Westminster, London","£3,975","£5,355",1 year,"Marylebone, Central London","The global environmental and energy challenge facing current and future generations of architects and building professionals calls for a deeper understanding of the principles of environmental design, and their effective application into architectural practice worldwide.",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-and-environmental-design-postgraduate-certificate
"Energy and Environmental Design Postgraduate Certificate - Courses | University of Westminster, London","£3,975","£5,355",1 year,"Marylebone, Central London","The global environmental and energy challenge facing current and future generations of architects and building professionals calls for a deeper understanding of the principles of environmental design, and their effective application into architectural practice worldwide.",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/energy-and-environmental-design-postgraduate-certificate
"Event Design and Management MA - Courses | University of Westminster, London","£1,225","£1,985",2 years,"Marylebone, Central London","Events play an essential role in the business, cultural and sporting life of all countries. In recent years an exciting new profession has emerged with event planners designing and organising a diverse range of events, and marketing the great variety of destinations and venues in which they take place.",https://www.westminster.ac.uk/tourism-and-events-management-courses/2025-26/september/part-time-day-evening/event-design-and-management-ma
"Communication MA - Courses | University of Westminster, London","£1,125","£1,985",2 years,"Harrow, North-West London","The Communication MA gives you an in-depth critical understanding of digital and traditional media, and the many different factors that shape communication and mass media – providing you with a distinctive competitive edge in the creative industries careers market.",https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/part-time-day/communication-ma
"Global Criminology MA - Courses | University of Westminster, London","£5,350","£8,750",2 years,"Regent, Central London","The Global Criminology MA is designed to develop your knowledge and critical understanding of criminology as an interdisciplinary subject that incorporates legal, political and psychological, as well as social scientific approaches to the study of crime, deviance, criminal and social justice.",https://www.westminster.ac.uk/criminology-and-sociology-courses/2025-26/september/part-time-day/global-criminology-ma
"Creative Writing: Writing the City MA - Courses | University of Westminster, London","£4,850","£8,750",2 years,"Regent, Central London","The Creative Writing: Writing the City MA is the only Creative Writing MA course to focus entirely on the city of London. It will allow you to explore the city as subject matter from a range of perspectives and across all genres. It will also give you a theoretical and practical platform from which to develop your understanding, and become part of the London writing scene.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/creative-writing-writing-the-city-ma
"Urban Design Postgraduate Certificate - Courses | University of Westminster, London","£3,375","£5,355",1 year,"Marylebone, Central London","Urban design involves shaping the physical setting for life in cities. This course provides a practical preparation for professionals entering urban design practice. It gives you an opportunity to study urban design at postgraduate level, without the need to commit to the full MA course. It also gives practitioners in the urban environment the necessary basic skills in urban design to enable government to deliver its vision of an ‘urban renaissance’.",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day-release/urban-design-postgraduate-certificate
"Cultural and Critical Studies MA - Courses | University of Westminster, London","£4,850","£8,750",2 years,"Regent, Central London","The Cultural and Critical Studies MA is part of the Cultural and Literary Studies Suite, a cluster of four MAs that bring together academics, curators and practitioners who share a commitment to investigating modern and contemporary culture from aesthetic, critical, literary and experiential perspectives. You'll share classes with students from the Art and Visual Culture MA, the English Literature: Modern and Contemporary Fictions MA and the Museum, Galleries and Contemporary Culture MA, joining a fruitful and intellectually rigorous environment designed to facilitate interdisciplinary thinking.",https://www.westminster.ac.uk/art-design-and-visual-culture-english-and-creative-writing-courses/2025-26/september/part-time-day/cultural-and-critical-studies-ma
"Cyber Security and Forensics MSc - Courses | University of Westminster, London","£1,225","£1,985",2 years,"Cavendish, Central London","Our Cyber Security and Forensics MSc has been designed with a high degree of relevance to the industry’s needs. This course is also fully certified by the National Cyber Security Centre (NCSC), which is a sign of national excellence.",https://www.westminster.ac.uk/computer-science-and-engineering-courses/2025-26/september/part-time-day/cyber-security-and-forensics-msc
"Big Data Technologies MSc - Courses | University of Westminster, London","£1,225","£1,985",2 years,"Cavendish, Central London","Recent advances in technology, along with decreasing hardware costs, led to the development and creation of smart devices and applications that pervade most aspects of daily life. The adoption and use of such technologies and applications in an ever-expanding variety of domains, including social media, entertainment, telecommunications, e-commerce, medical records and e-health, resulted in a rapid explosion in the amount and variety of generated data and to the need to store and analyse this data.",https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/part-time-day/big-data-technologies-msc
"Counselling PGDip - Courses | University of Westminster, London","£4,250","£5,500",2 years,"Cavendish, Central London","The Postgraduate Diploma in Counselling is a part-time course designed to provide professional training for people considering a career in counselling, psychotherapy and related mental health fields.",https://www.westminster.ac.uk/psychology-courses/2025-26/september/part-time-day/counselling-pgdip
"Data Science and Analytics MSc - Courses | University of Westminster, London","£1,225","£1,985",2 years,"Cavendish, Central London","This course (previously Business Intelligence and Analytics MSc) addresses the need to propel information-gathering and data organisation, and exploit potential information and knowledge hidden in routinely collected data to improve decision-making. The course stretches the artificial intelligence (AI), machine learning (ML) and decision science themes to business intelligence, data science and business analytics.",https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/part-time-day/data-science-and-analytics-msc
"Film, Television and Moving Image MA - Courses | University of Westminster, London","£1,125","£1,985",2 years,"Harrow, North-West London","Our innovative Film, Television and Moving Image MA builds on its prestigious heritage as one of the longest-running degree programmes of its kind in the UK. We aim to equip you with wide-ranging skills, knowledge and critical awareness to meet your career aspirations in sectors in which moving images play a central role. Our curriculum incorporates an exciting variety of learning and teaching activities designed to foster your capacity for researching and rigorously analysing different aspects of film, television and moving images. You’ll have the opportunity to develop key skills for communicating about and with moving images across a range of contexts and platforms.",https://www.westminster.ac.uk/film-and-television-courses/2025-26/september/part-time-day-evening/film-television-and-moving-image-ma
"Logistics and Supply Chain Management MSc - Courses | University of Westminster, London","£1,225","£1,985",2 years,"Marylebone, Central London",The Logistics and Supply Chain Management MSc has been designed to develop your ability to carry out advanced analysis and research in the field of logistics and supply chain management within a global context. The MSc course has been running since 1998 and is offered by the School of Architecture and Cities.,https://www.westminster.ac.uk/transport-and-logistics-courses/2025-26/september/part-time-day/logistics-and-supply-chain-management-msc
"Business of Film MA - Courses | University of Westminster, London","£1,400","£1,925",2 years,"Regent, Central London",This course aims to equip students with essential knowledge and skills in the business of film and we are delivering it with the BFI (British Film Institute) as our industry partner.,https://www.westminster.ac.uk/business-and-management-film-and-television-courses/2025-26/september/part-time-day-evening/business-of-film-ma
"Global Media MA - Courses | University of Westminster, London","£1,125","£1,985",2 years,"Harrow, North-West London","From Al Jazeera to Hollywood, from Disney to China Central TV, Amazon, Alphabet/Google, Netflix, Alibaba and Tencent, the media increasingly operate in a global context. This course offers a comprehensive interdisciplinary approach to global media, and is designed for those who work in, or want to work in, the media industries.",https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/part-time-day/global-media-ma
"Global Development MA - Courses | University of Westminster, London","£5,350","£8,750",2 years,"Regent, Central London","The Global Development MA offers you an interdisciplinary, practical, skill-based training to become an engaged, ethical development thinker and practitioner upon graduation.",https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/part-time-day/global-development-ma
"Global Public Health with Data Science MSc - Courses | University of Westminster, London","£5,350","£8,750",2 years,"Cavendish, Central London","The Global Public Health with Data Science MSc is a unique course bringing new insights to public health. As we enter a new era of healthcare, combining global public health with data science can support decision making, advance evidence-based policies and drive strategies in combating diseases by analysing data on omics, health, lifestyle and the environment.",https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/part-time-day/global-public-health-with-data-science-msc
"Global Public Health Nutrition MSc - Courses | University of Westminster, London","£1,070","£1,750",2 years,"Cavendish, Central London",Our Global Public Health Nutrition MSc will give you the specialist scientific knowledge and practical skills to take an active role in global public health nutrition in a range of different settings.,https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/part-time-day/global-public-health-nutrition-msc
"Health and Wellbeing MSc - Courses | University of Westminster, London","£5,350","£8,750",2 years,"Cavendish, Central London","Good health and wellbeing are increasingly becoming a focus for governments, policy makers and researchers, as we face diverse and multifaceted challenges in the 21st century, and careers in health and wellbeing are growth areas in our economy.",https://www.westminster.ac.uk/nutrition-and-public-health-courses/2025-26/september/part-time-day/health-and-wellbeing-msc
"International Communication - Liaison and Advocacy MA - Courses | University of Westminster, London","£4,850","£8,750",2 years,"Regent, Central London","Our International Communication, Liaison and Advocacy MA is a dynamic, pioneering interdisciplinary course, which meets the demand for greater professionalism in interpersonal and inter-institutional bilingual communication in an international arena. We focus on enhancing your skills as a communicator and facilitator of communication. This can be as an advocate, as a mediator, communication strategist, intermediary or communication facilitator. Grounded in the latest international communications theories and using real-life simulations, you'll learn to locate and analyse resources, pre-empt communications challenges and develop strategies to overcome obstacles to successful interaction.",https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/international-communication-liaison-and-advocacy-ma
"International Law LLM - Courses | University of Westminster, London","£6,350","£8,750",2 years,"Regent, Central London","With globalisation, international law is becoming increasingly important, and our International Law LLM prepares you for a future career in the international arena. Our teaching team is composed of world-renowned scholars who are leading the way in their respective subjects, including – but not limited to – international human rights law, the law of armed conflict, development law, energy and climate change law, international cyber security law, refugee law, the law of the sea, international courts and tribunals. In previous years, our teaching team organised study visits to international organisations and to international courts in London and The Hague.",https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day/international-law-llm
"Law and Technology LLM - Courses | University of Westminster, London","£6,350","£8,750",2 years,"Regent, Central London","Explore the dynamic and intricate relationship between law and technology in today’s fast-paced world with our comprehensive Law and Technology LLM programme. Examine how technological advancements reshape legal and regulatory frameworks, critically analysing their impact on society, the economy, ethics, and technology itself. Immerse yourself in captivating emerging normativities at the intersection of law and technology, essential for envisioning new regulatory futures.",https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-day/law-and-technology-llm
"Legal Practice Postgraduate Diploma - Courses | University of Westminster, London","£6,350","£6,500",2 years,"Regent, Central London","If you want to practise as a solicitor in England and Wales, the Legal Practice Course (LPC) remains a great choice if you have a Qualifying Law Degree or a Graduate Diploma in Law. After graduating from the course, you may qualify as a solicitor through the traditional route of a training contract. You now also have the option to qualify through the Solicitors Qualifying Examination pathway by claiming exemption from SQE1 and substituting qualifying work experience for a training contract – find out more about the benefits of doing a Legal Practice Course and the new route to becoming a solicitor on our",https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-evening-only/legal-practice-postgraduate-diploma
"English Literature: Modern and Contemporary Fictions MA - Courses | University of Westminster, London","£4,850","£8,750",2 years,"Regent, Central London","Our English Literature: Modern and Contemporary Fictions MA gives you the opportunity to study English literature in a modern university environment, while taking advantage of London's rich cultural life. You'll examine literary texts in the wider context of cultural production and relate them to their social, historical and political circumstances.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/english-literature-modern-and-contemporary-fictions-ma
"English Language and Linguistics MA - Courses | University of Westminster, London","£4,850","£8,750",2 years,"Regent, Central London","The English Language and Linguistics MA explores the linguistic features of English from theoretical, applied, synchronic and diachronic perspectives. Our course will enable you to understand and evaluate critically a wide spectrum of ideas in the study of the English language, particularly in connection with linguistic variation in terms of space, time, communicative context and linguistic contact. It will also equip you with the intellectual perspectives and scholarly skills to conduct independent research.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/english-language-and-linguistics-ma
"English Language and Literature MA - Courses | University of Westminster, London","£4,850","£8,750",2 years,"Regent, Central London","The English Language and Literature MA explores the interconnections between language and literature. Our course will provide you with a thorough understanding of the linguistic features of English from a wide range of perspectives (theoretical and applied, synchronic and diachronic), as well as leading you to explore a wide array of texts in connection with the social, historical and political circumstances from which they emerge. It will also equip you with the intellectual perspectives and scholarly skills to conduct independent research.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/part-time-day/english-language-and-literature-ma
"Legal Practice LLM - Courses | University of Westminster, London","£7,350","£7,750",2 years,"Regent, Central London","If you want to practise as a solicitor in England and Wales, the Legal Practice Course (LPC) remains a great choice if you have a Qualifying Law Degree or a Graduate Diploma in Law. After graduating from the course, you may qualify as a solicitor through the traditional route of a training contract. You now also have the option to qualify through the Solicitors Qualifying Examination pathway by claiming exemption from SQE1 and substituting qualifying work experience for a training contract – find out more about the benefits of doing a Legal Practice Course and the new route to becoming a solicitor on our",https://www.westminster.ac.uk/law-courses/2025-26/september/part-time-evening-only/legal-practice-llm
